id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,4.661787614559777,0.48509871001021204,0.5699590226265652,0.46954362986330755,0.5149012899897871
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",1.8661340765902663,0.24744255814537067,0.7590422443598208,0.7461825052613044,0.752557441854629
2,Ms. Haag plays Elianti .,0.9509775004326935,0.25751658270749517,1.0,0.5904362833084087,0.7424834172925047
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",0.9754887502163463,0.13421015906642395,0.9030635574149407,0.8314710853559227,0.8657898409335759
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",0.8741854163060889,0.15884869710404523,0.8411513028959547,0.8411513028959547,0.8411513028959547
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.1603960156690762,0.16529688217500002,0.901867404393201,0.776849241705274,0.8347031178249998
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.7673183336217964,0.11781100479630821,0.9006261358019672,0.8644915820260832,0.8821889952036918
7,The new rate will be payable Feb. 15 .,0.3060986113514961,0.054765038715745326,0.8961568942739591,0.9999999999999999,0.9452349612842545
8,A record date has n't been set .,1.0,0.2222222222222222,0.7,0.875,0.7777777777777777
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",0.9123397061368799,0.14432536055500267,0.8517889810036293,0.8595959112425616,0.8556746394449976
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.1362548782626654,0.1593387017334938,0.8093516903686426,0.874490799544956,0.840661298266506
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.9157357863295035,0.26937220521459754,0.793113514406341,0.6772689303584977,0.7306277947854026
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",2.176901011999578,0.28266063164386207,0.7788548370497195,0.6648298173222579,0.7173393683561382
13,The proposed changes also would allow executives to report exercises of options later and less often .,0.7502875001272633,0.11733047685510843,0.8646567154672707,0.9014487953005433,0.8826695231448916
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,1.7272888629288463,0.22745100102553867,0.8284279226989407,0.7237319998053217,0.7725489989744615
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",1.5086486456273605,0.18868259886982752,0.883302731470006,0.7501809194074099,0.8113174011301726
16,`` Apparently the commission did not really believe in this ideal . '',0.5573163459874255,0.09601701855765028,0.86670897022254,0.9446071092622238,0.9039829814423496
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",1.3748370832612178,0.18117093699191802,0.9097613730784422,0.7444226592244765,0.8188290630080822
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",0.48638263900908196,0.06193221623945999,1.0,0.883359379643315,0.93806778376054
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",1.482191510160523,0.175286720430139,0.8685966924489198,0.785050789239513,0.8247132795698615
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",1.1504189287568654,0.14315032980088357,0.9233747921285016,0.7992660418184628,0.856849670199116
21,"The SEC will probably vote on the proposal early next year , he said .",1.1999999999999984,0.1814393257511412,0.7718776853199256,0.8712539152278531,0.8185606742488585
22,Not all those who wrote oppose the changes .,0.7505430557959416,0.13428195354110564,0.8207686211452081,0.915876032857139,0.8657180464588945
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",1.8110129544634752,0.21320771003777514,0.8166290744163623,0.7590589186516504,0.786792289962225
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,1.9437835142955526,0.23493427072220308,0.8012194292357285,0.7320339112505813,0.7650657292777973
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",1.4738513896100471,0.22183940320372414,0.7913959739092601,0.7653606369886217,0.7781605967962761
26,The SEC 's Mr. Lane vehemently disputed those estimates .,1.1509775004326928,0.2095399453597916,0.8203288689862431,0.7626899194318092,0.7904600546402083
27,"The rules will eliminate filings policy-making divisions , such as sales , marketing , finance and research and development , Mr. Lane said .",1.0833333333333348,0.14725169574084376,0.9176625840515262,0.7964111930853859,0.852748304259156
