id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,3.9454246454991013,0.44527132319548274,0.5661701045025898,0.5437405166070831,0.5547286768045174
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",2.005443820685201,0.26136523681146695,0.7579669452698038,0.7202642012889212,0.7386347631885329
2,Ms. Haag plays Elianti .,1.3509775004326938,0.41027247824384333,0.7082316448032829,0.5051961085524235,0.5897275217561565
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",1.4132331253245187,0.19545108529758176,0.8348282419926988,0.7763891796887644,0.8045489147024181
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",1.166666666666667,0.20576403856662848,0.8182894679537576,0.771556173679471,0.7942359614333715
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.1898702560922967,0.17496533969307032,0.8635527393151146,0.7898059957889259,0.8250346603069301
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.7169925001442303,0.10497506451307814,0.9582013815667277,0.8396639387564937,0.8950249354869216
7,The new rate will be payable Feb. 15 .,0.22222222222222232,0.036324900793189584,1.0,0.9298966940476159,0.9636750992068105
8,A record date has n't been set .,0.75,0.14285714285714285,0.8999999999999999,0.818181818181818,0.857142857142857
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",0.677045588489821,0.1086297330415653,0.8748564050123129,0.9085195573557705,0.8913702669584349
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.3549721192370878,0.19602194105709664,0.7502942320756577,0.8659361040692066,0.8039780589429035
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.7686220598969777,0.2628604650201161,0.7570347236053154,0.718263276181224,0.7371395349798838
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",1.6836942532026349,0.2331437881126733,0.7807496893628928,0.7534485593063032,0.7668562118873268
13,The proposed changes also would allow executives to report exercises of options later and less often .,1.5005750002545275,0.24188144099421038,0.7204784577114813,0.7999083311911116,0.75811855900579
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,1.8432846232303124,0.24926818180656438,0.7839023230078324,0.7202545430451739,0.7507318181934355
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",1.6398858617823002,0.215880391501989,0.8110455838738191,0.7589240215630417,0.784119608498011
16,`` Apparently the commission did not really believe in this ideal . '',0.519606730935652,0.07904470615755656,1.0,0.8534913230073067,0.9209552938424435
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",0.9584962500721153,0.13409338628210885,0.9062033304812751,0.8290411178754896,0.865906613717891
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",0.5974937501201918,0.07945254003366638,0.9396715985979786,0.9021862214273799,0.9205474599663336
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",1.6711035957234115,0.20732869707373683,0.7957872356186637,0.7895796761495958,0.7926713029262635
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",1.6966879424358288,0.22652194668307862,0.7768718735843197,0.7701137563672794,0.7734780533169208
21,"The SEC will probably vote on the proposal early next year , he said .",0.3999999999999986,0.055966642010002336,0.9619796142199877,0.9267444333447415,0.9440333579899974
22,Not all those who wrote oppose the changes .,0.6666666666666679,0.11751192005564601,0.8492234537424981,0.918464939457502,0.8824880799443541
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",1.6847185774613278,0.21677056204513132,0.7438102430025161,0.8270605939478758,0.7832294379548687
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,2.209329563075891,0.2825955328412405,0.7099217648123488,0.7250465878444876,0.7174044671587595
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",0.7505430557959416,0.10974835039290488,0.9319658324131308,0.8521116862981778,0.8902516496070952
26,The SEC 's Mr. Lane vehemently disputed those estimates .,0.8754887502163449,0.15177409542471376,0.9244267583903902,0.7836309070274349,0.848225904575286
