id,sentence,VI,normalized-VI,homogeneity,completeness,V-score
0,-,4.06928868125449,0.4742967134339761,0.5195248988810454,0.5320303943593633,0.5257032865660238
1,"In an Oct. 19 review of `` The Misanthrope '' at Chicago 's Goodman Theatre -LRB- `` Revitalized Classics Take the Stage in Windy City , '' Leisure & Arts -RRB- , the role of Celimene , played by Kim Cattrall , was mistakenly attributed to Christina Haag .",1.8156399426174188,0.25113602365440785,0.7240715776665348,0.7754143653973965,0.748863976345592
2,Ms. Haag plays Elianti .,0.5509775004326936,0.16732395949356627,1.0,0.7133204400839018,0.8326760405064336
3,"Rolls-Royce Motor Cars Inc. said it expects its U.S. sales to remain steady at about 1,200 cars in 1990 .",1.4509775004326926,0.2200825419066675,0.7378917994076395,0.8270192539399279,0.7799174580933323
4,"The luxury auto maker last year sold 1,214 cars in the U.S.",0.7295739585136234,0.12636193996214967,0.9165679877090556,0.8345496804519784,0.8736380600378506
5,"Howard Mosher , president and chief executive officer , said he anticipates growth for the luxury auto maker in Britain and Europe , and in Far Eastern markets .",1.4058931011436897,0.21808113391211717,0.7758271671529706,0.7881069846304289,0.781918866087883
6,BELL INDUSTRIES Inc. increased its quarterly to 10 cents from seven cents a share .,0.7673183336217946,0.11781100479630796,0.9006261358019672,0.8644915820260832,0.8821889952036918
7,The new rate will be payable Feb. 15 .,0.22222222222222232,0.036324900793189584,1.0,0.9298966940476159,0.9636750992068105
8,A record date has n't been set .,0.5,0.09090909090909091,0.9999999999999999,0.8333333333333333,0.9090909090909091
9,"Bell , based in Los Angeles , makes and distributes electronic , computer and building products .",1.197913410388253,0.19376439315480784,0.7849154193877762,0.8287463475544148,0.8062356068451921
10,Investors are appealing to the Securities and Exchange Commission not to limit their access to information about stock purchases and sales by corporate insiders .,1.4562548782626674,0.20889986891245624,0.7445475170571567,0.8438623774910747,0.7911001310875438
11,"A SEC proposal to ease reporting requirements for some company executives would undermine the usefulness of information on insider trades as a stock-picking tool , individual investors and professional money managers contend .",1.5156367403334396,0.21802568175276826,0.8297290418734499,0.7394174426457413,0.7819743182472318
12,"They make the argument in letters to the agency about rule changes proposed this past summer that , among other things , would exempt many middle-management executives from reporting trades in their own companies ' shares .",1.5404449303337744,0.2171591735575769,0.7828885889933019,0.7827930697189941,0.782840826442423
13,The proposed changes also would allow executives to report exercises of options later and less often .,1.0646979688299947,0.16252873322200792,0.8404171429499666,0.8345459705608513,0.8374712667779924
14,Many of the letters maintain that investor confidence has been so shaken by the 1987 stock market crash -- and the markets already so stacked against the little guy -- that any decrease in information on insider-trading patterns might prompt individuals to get out of stocks altogether .,2.160352976331848,0.2967518612737408,0.7229219803135497,0.6846167485812921,0.7032481387262594
15,"`` The SEC has historically paid obeisance to the ideal of a level playing field , '' wrote Clyde S. McGregor of Winnetka , Ill. , in one of the 92 letters the agency has received since the changes were proposed Aug. 17 .",2.083289839153366,0.28554519048732735,0.7097610049424378,0.7192111096899417,0.7144548095126727
16,`` Apparently the commission did not really believe in this ideal . '',0.9811451924741128,0.16052658059765146,0.8475254479299283,0.8315729497112103,0.8394734194023483
17,"Currently , the rules force executives , directors and other corporate insiders to report purchases and sales of their companies ' shares within about a month after the transaction .",0.49462468470899434,0.07091319576801675,0.9488041113653694,0.9101723130057454,0.9290868042319832
18,"But about 25 % of the insiders , according to SEC figures , file their reports late .",0.5974937501201927,0.08187187867069312,0.9095073978969678,0.9269138308239404,0.9181281213293068
19,"The changes were proposed in an effort to streamline federal bureaucracy and boost compliance by the executives `` who are really calling the shots , '' said Brian Lane , special counsel at the SEC 's office of disclosure policy , which proposed the changes .",2.028265759698866,0.2633084384129785,0.7068148328649702,0.7692055149346873,0.7366915615870216
20,"Investors , money managers and corporate officials had until today to comment on the proposals , and the issue has produced more mail than almost any other issue in memory , Mr. Lane said .",1.7434157145329667,0.2455312676562848,0.7183649104853184,0.7943936308383485,0.754468732343715
21,"The SEC will probably vote on the proposal early next year , he said .",0.7169925001442294,0.10497506451307802,0.8715882856335802,0.9197568173086429,0.8950249354869216
22,Not all those who wrote oppose the changes .,0.44444444444444464,0.07538827312875093,0.9246117268712492,0.9246117268712492,0.9246117268712492
23,"The Committee on Federal Regulation of Securities for the American Bar Association argues , for example , in its lengthy letter to the SEC , that the proposed changes `` would substantially improve the -LCB- law -RCB- by conforming it more closely to contemporary business realities . ''",2.064446226054735,0.27600787590803194,0.6617013690776447,0.7992293904600076,0.723992124091968
24,What the investors who oppose the proposed changes object to most is the effect they say the proposal would have on their ability to spot telltale `` clusters '' of trading activity -- buying or selling by more than one officer or director within a short period of time .,1.676157983993816,0.2197317238749166,0.7533856432543349,0.8091403734295217,0.7802682761250832
25,"According to some estimates , the rule changes would cut insider filings by more than a third .",0.5283208335737193,0.07725384908322225,0.9659829162065655,0.8832140654048408,0.9227461509167777
26,The SEC 's Mr. Lane vehemently disputed those estimates .,1.1509775004326919,0.20953994535979145,0.8203288689862431,0.7626899194318092,0.7904600546402083
27,"The rules will eliminate filings policy-making divisions , such as sales , marketing , finance and research and development , Mr. Lane said .",0.9591479170272432,0.15189522195639943,0.7833418759217557,0.9245413684980275,0.8481047780436002
28,"The proposed rules also would be tougher on the insiders still required to file reports , he said .",1.132093421280361,0.16306220317104406,0.7890825184133148,0.8909723615650653,0.8369377968289554
29,Companies would be compelled to publish in annual proxy statements the names of insiders who fail to file reports on time .,1.8755056785836368,0.2836906234125148,0.7136984982388802,0.7189394274981216,0.716309376587485
